citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
SLP,San Luis Potosi,,MX,22.254166666666666,-100.93083333333334,1,177144,159289,1528,1048
SLQ,Sleetmute,AK,US,61.7,-157.16583333333335,1,0,0,0,0
SLR,Sulphur Springs,TX,US,33.13333333333333,-95.6,0,0,0,0,0
SLS,Silistra,,BG,44.055277777777775,27.17888888888889,0,0,0,0,0
SLT,Salida,CO,US,38.538333333333334,-106.04888888888888,1,0,0,0,0
SLU,St Lucia,,LC,14.016666666666667,-61.0,1,98286,239940,441,418
SLV,Shimla,HP,IN,31.081666666666667,77.06805555555555,1,28,35,2,2
SLW,Saltillo,,MX,25.54388888888889,-100.92833333333334,0,0,0,0,0
SLX,Salt Cay,,TC,21.335833333333333,-71.20055555555555,1,1,6,2,2
SLY,Salekhard,,RU,66.59083333333332,66.6111111111111,1,0,0,84,61
SLZ,Sao Luiz,MA,BR,-2.585277777777778,-44.23416666666667,1,425872,353147,1594,1465
SMA,Santa Maria Island,,PT,36.973888888888894,-25.171111111111113,1,8492,17917,125,112
SMB,Cerro Sombrero,,CL,-52.666666666666664,-69.26666666666667,0,0,0,0,0
SMC,Santa Maria,,CO,8.166666666666666,-77.05,0,0,0,0,0
SME,Somerset,KY,US,37.05444444444444,-84.615,0,0,0,0,0
SMG,Santa Maria,,PE,-12.391388888888889,-76.75583333333333,0,0,0,0,0
SMH,Sapmanga,,PG,-6.083333333333333,146.75,0,0,0,0,0
SMI,Samos,,GR,37.69,26.911666666666665,1,35365,48392,310,241
SMJ,Sim,,PG,-7.666666666666667,146.83333333333334,0,0,0,0,0
SMK,St Michael,AK,US,63.48111111111111,-162.03083333333333,1,32,13,8,5
